,eightd_has_available_keys,is_installed,is_renting,is_returning,last_reported,num_bikes_available,num_bikes_disabled,num_docks_available,num_docks_disabled,num_ebikes_available,day_of_week,last_updated_hour,time_interval,bike_uptime,dock_uptime,altitude,availableBikes,availableDocks,city,id,landMark,lastCommunicationTime,latitude,location,longitude,postalCode,stAddress1,stAddress2,stationName,statusKey,statusValue,testStation,totalDocks
77,0.0,240,240,240,368898468179,6253,269,4278,0,10,480,4200,2400,1.0,0.9958333333333333,,5.0,40.0,,195.0,,2018-11-25 10:24:14 AM,40.70905623,,-74.01043382,,Liberty St & Broadway,,Liberty St & Broadway,1.0,In Service,False,45.0
78,0.0,359,359,359,551796259539,947,296,14912,0,16,720,2872,3590,0.5125348189415042,1.0,,5.0,40.0,,195.0,,2018-11-25 10:24:14 AM,40.70905623,,-74.01043382,,Liberty St & Broadway,,Liberty St & Broadway,1.0,In Service,False,45.0
79,0.0,720,720,720,1106678694030,2481,666,29253,0,9,3957,10453,7200,0.8305555555555556,1.0,,5.0,40.0,,195.0,,2018-11-25 10:24:14 AM,40.70905623,,-74.01043382,,Liberty St & Broadway,,Liberty St & Broadway,1.0,In Service,False,45.0
80,0.0,2980,2980,2980,4580409514769,19142,4097,60200,1,60,8481,31900,29800,0.724496644295302,0.9654362416107383,,12.0,15.0,,212.0,,2018-11-25 10:22:06 AM,40.74334935,,-74.00681753,,W 16 St & The High Line,,W 16 St & The High Line,1.0,In Service,False,28.0
81,0.0,240,240,240,368898488174,3814,350,2556,0,4,480,4200,2400,0.9791666666666666,0.9625,,12.0,15.0,,212.0,,2018-11-25 10:22:06 AM,40.74334935,,-74.00681753,,W 16 St & The High Line,,W 16 St & The High Line,1.0,In Service,False,28.0
82,0.0,359,359,359,551796890356,619,372,9061,0,2,720,2872,3590,0.4206128133704735,1.0,,12.0,15.0,,212.0,,2018-11-25 10:22:06 AM,40.74334935,,-74.00681753,,W 16 St & The High Line,,W 16 St & The High Line,1.0,In Service,False,28.0
83,0.0,720,720,720,1106679306000,3375,811,15974,0,5,3957,10453,7200,0.8847222222222222,0.9944444444444445,,12.0,15.0,,212.0,,2018-11-25 10:22:06 AM,40.74334935,,-74.00681753,,W 16 St & The High Line,,W 16 St & The High Line,1.0,In Service,False,28.0
84,0.0,2980,2980,2980,4580404358655,18078,3652,46808,2,8,8481,31900,29800,0.9634228187919464,0.9993288590604027,,9.0,14.0,,216.0,,2018-11-25 10:23:01 AM,40.70037867,,-73.99548059,,Columbia Heights & Cranberry St,,Columbia Heights & Cranberry St,1.0,In Service,False,23.0
85,0.0,240,240,240,368898171819,1422,311,3787,0,0,480,4200,2400,0.975,0.9708333333333333,,9.0,14.0,,216.0,,2018-11-25 10:23:01 AM,40.70037867,,-73.99548059,,Columbia Heights & Cranberry St,,Columbia Heights & Cranberry St,1.0,In Service,False,23.0
86,0.0,359,359,359,551795923657,2499,380,5378,0,0,720,2872,3590,1.0,1.0,,9.0,14.0,,216.0,,2018-11-25 10:23:01 AM,40.70037867,,-73.99548059,,Columbia Heights & Cranberry St,,Columbia Heights & Cranberry St,1.0,In Service,False,23.0
87,0.0,720,720,720,1106677780837,3778,609,12172,1,5,3957,10453,7200,0.9152777777777777,0.9930555555555556,,9.0,14.0,,216.0,,2018-11-25 10:23:01 AM,40.70037867,,-73.99548059,,Columbia Heights & Cranberry St,,Columbia Heights & Cranberry St,1.0,In Service,False,23.0
88,2980.0,2980,2980,2980,4580408892922,46332,4555,65332,1,40,8481,31900,29800,0.97751677852349,0.9758389261744966,,30.0,7.0,,217.0,,2018-11-25 10:23:26 AM,40.70277159,,-73.99383605,,Old Fulton St,,Old Fulton St,1.0,In Service,False,39.0
89,240.0,240,240,240,368898420652,5641,377,3342,0,5,480,4200,2400,1.0,0.9333333333333333,,30.0,7.0,,217.0,,2018-11-25 10:23:26 AM,40.70277159,,-73.99383605,,Old Fulton St,,Old Fulton St,1.0,In Service,False,39.0
90,359.0,359,359,359,551795661395,2774,383,10844,0,0,720,2872,3590,0.9498607242339833,1.0,,30.0,7.0,,217.0,,2018-11-25 10:23:26 AM,40.70277159,,-73.99383605,,Old Fulton St,,Old Fulton St,1.0,In Service,False,39.0
